Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,1.550000,1.553000,1.538000,1.538000,1.538000,0
2019-12-03,1.545000,1.545000,1.533000,1.538000,1.538000,0
2019-12-04,1.535000,1.675000,1.498000,1.498000,1.498000,0
2019-12-05,1.505000,1.510000,1.493000,1.493000,1.493000,0
2019-12-06,1.495000,1.500000,1.480000,1.480000,1.480000,0
2019-12-08,null,null,null,null,null,null
2019-12-09,1.478000,1.500000,1.478000,1.498000,1.498000,0
2019-12-10,1.508000,1.515000,1.508000,1.515000,1.515000,0
2019-12-11,1.520000,2.000000,1.520000,1.520000,1.520000,0
2019-12-12,1.520000,1.538000,1.520000,1.530000,1.530000,0
2019-12-13,1.515000,1.523000,1.513000,1.523000,1.523000,0
2019-12-15,null,null,null,null,null,null
2019-12-16,1.525000,1.528000,1.523000,1.525000,1.525000,0
2019-12-17,1.530000,1.530000,1.530000,1.530000,1.530000,0
2019-12-18,1.518000,1.520000,1.518000,1.518000,1.518000,0
2019-12-19,1.518000,1.533000,1.515000,1.533000,1.533000,0
2019-12-20,1.525000,1.530000,1.520000,1.528000,1.528000,0
2019-12-22,null,null,null,null,null,null
2019-12-23,1.530000,1.533000,1.520000,1.520000,1.520000,0
2019-12-24,null,null,null,null,null,null
2019-12-26,1.530000,1.545000,1.528000,1.535000,1.535000,0
2019-12-27,1.535000,1.535000,1.513000,1.518000,1.518000,0
2019-12-29,null,null,null,null,null,null
2019-12-30,1.508000,1.518000,1.488000,1.490000,1.490000,0
2019-12-31,1.505000,1.505000,1.505000,1.505000,1.505000,0
2020-01-02,1.510000,1.510000,1.495000,1.495000,1.495000,0
2020-01-03,1.490000,1.490000,1.460000,1.473000,1.473000,0
2020-01-05,null,null,null,null,null,null
2020-01-06,1.478000,1.490000,1.475000,1.488000,1.488000,0
2020-01-07,1.505000,1.505000,1.500000,1.500000,1.500000,0
2020-01-08,1.493000,1.493000,1.485000,1.493000,1.493000,0
2020-01-09,1.495000,1.503000,1.495000,1.500000,1.500000,0
2020-01-10,1.498000,1.503000,1.498000,1.498000,1.498000,0
2020-01-12,null,null,null,null,null,null
2020-01-13,1.500000,1.510000,1.500000,1.510000,1.510000,0
2020-01-14,1.523000,1.530000,1.523000,1.530000,1.530000,0
2020-01-15,1.528000,1.528000,1.508000,1.508000,1.508000,0
2020-01-16,1.523000,1.525000,1.515000,1.518000,1.518000,0
2020-01-17,1.515000,1.525000,1.515000,1.523000,1.523000,0
2020-01-19,null,null,null,null,null,null
2020-01-21,1.513000,1.518000,1.503000,1.503000,1.503000,0
2020-01-22,1.515000,1.515000,1.510000,1.513000,1.513000,0
2020-01-23,1.508000,1.518000,1.508000,1.515000,1.515000,0
2020-01-24,1.515000,1.515000,1.490000,1.490000,1.490000,0
2020-01-26,null,null,null,null,null,null
2020-01-27,1.485000,1.505000,1.483000,1.505000,1.505000,0
2020-01-28,1.525000,1.530000,1.525000,1.530000,1.530000,0
2020-01-29,1.530000,1.535000,1.520000,1.520000,1.520000,0
2020-01-30,1.510000,1.528000,1.508000,1.528000,1.528000,0
2020-01-31,1.518000,1.520000,1.508000,1.510000,1.510000,0
2020-02-02,null,null,null,null,null,null
2020-02-03,1.513000,1.520000,1.513000,1.518000,1.518000,0
2020-02-04,1.538000,1.540000,1.538000,1.538000,1.538000,0
2020-02-05,1.540000,1.540000,1.520000,1.520000,1.520000,0
2020-02-06,1.520000,1.533000,1.520000,1.530000,1.530000,0
2020-02-07,1.523000,1.528000,1.515000,1.518000,1.518000,0
2020-02-09,null,null,null,null,null,null
2020-02-10,1.515000,1.525000,1.510000,1.520000,1.520000,0
2020-02-11,1.535000,1.538000,1.535000,1.538000,1.538000,0
2020-02-12,1.535000,1.535000,1.535000,1.535000,1.535000,0
2020-02-13,1.533000,1.545000,1.530000,1.545000,1.545000,0
2020-02-14,1.535000,1.538000,1.535000,1.535000,1.535000,0
2020-02-16,null,null,null,null,null,null
2020-02-18,1.535000,1.543000,1.533000,1.535000,1.535000,0
2020-02-19,1.530000,1.545000,1.530000,1.543000,1.543000,0
2020-02-20,1.535000,1.538000,1.533000,1.538000,1.538000,0
2020-02-21,1.533000,1.533000,1.513000,1.518000,1.518000,0
2020-02-23,null,null,null,null,null,null
2020-02-24,1.498000,1.503000,1.490000,1.503000,1.503000,0
2020-02-25,1.500000,1.505000,1.490000,1.490000,1.490000,0
2020-02-26,1.495000,1.495000,1.470000,1.478000,1.478000,0
2020-02-27,1.423000,1.423000,1.363000,1.395000,1.395000,0
2020-02-28,1.290000,1.290000,1.230000,1.230000,1.230000,0
2020-03-01,null,null,null,null,null,null
2020-03-02,1.090000,1.158000,1.090000,1.135000,1.135000,0
2020-03-03,1.143000,1.153000,0.855000,0.918000,0.918000,0
2020-03-04,0.848000,0.850000,0.675000,0.675000,0.675000,0
2020-03-05,0.655000,0.655000,0.578000,0.595000,0.595000,0
2020-03-06,0.403000,0.428000,0.325000,0.415000,0.415000,0
2020-03-08,null,null,null,null,null,null
2020-03-09,0.235000,0.363000,0.178000,0.330000,0.330000,0
2020-03-10,0.398000,0.400000,0.378000,0.390000,0.390000,0
2020-03-11,0.375000,0.410000,0.350000,0.368000,0.368000,0
2020-03-12,0.165000,0.283000,0.155000,0.273000,0.273000,0
2020-03-13,0.258000,0.270000,0.230000,0.243000,0.243000,0
2020-03-15,null,null,null,null,null,null
2020-03-16,0.130000,0.210000,0.115000,0.185000,0.185000,0
2020-03-17,0.235000,0.235000,0.143000,0.165000,0.165000,0
2020-03-18,0.100000,0.100000,-0.013000,0.003000,0.003000,0
2020-03-19,-0.033000,-0.018000,-0.040000,-0.028000,-0.028000,0
2020-03-20,-0.045000,-0.023000,-0.045000,-0.033000,-0.033000,0
2020-03-22,null,null,null,null,null,null
2020-03-23,-0.030000,-0.028000,-0.040000,-0.040000,-0.040000,0
2020-03-24,-0.003000,0.005000,-0.070000,-0.033000,-0.033000,0
2020-03-25,-0.033000,3.390000,-0.235000,-0.070000,-0.070000,0
